OTU,log2FoldChange,pval,Sample,Phylum,Class,Order,Family,Genus,,,,,,OTU,
2,8.871709679,3.29E-17,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,,,,,,Otu,2
5,7.296771098,4.43E-12,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas,,,,,,Otu,5
7,9.517253697,7.45E-18,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI_unclassified,,,,,,Otu,7
11,2.095534149,0.000791037,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,,,,,,Otu,11
21,9.124339906,3.29E-17,11/15/16 Manure Line,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,21
39,8.310891199,1.58E-14,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,,,,,,Otu,39
51,6.231229092,9.58E-07,11/15/16 Manure Line,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,,,,,Otu,51
60,9.989047734,5.47E-18,11/15/16 Manure Line,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonadaceae_unclassified,,,,,,Otu,60
75,9.808802498,3.07E-16,11/15/16 Manure Line,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,Otu,75
86,7.369076186,3.19E-10,11/15/16 Manure Line,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,86
94,2.005812,0.126851575,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,,,,,,Otu,94
102,2.189752129,0.003154327,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,,,,,,Otu,102
123,7.422568274,1.20E-10,11/15/16 Manure Line,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,123
138,23.05304845,4.96E-58,11/15/16 Manure Line,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,Otu,138
149,5.931056429,3.53E-09,11/15/16 Manure Line,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,,,,,,Otu,149
166,2.836422513,0.635679642,11/15/16 Manure Line,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified,,,,,,Otu,166
179,5.550050334,1.20E-06,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,,,,,,Otu,179
187,5.397258887,0.000577131,11/15/16 Manure Line,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,,,,Otu,187
193,6.117101479,4.99E-10,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,,,Otu,193
202,1.807809421,0.057167241,11/15/16 Manure Line,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,,,,,,Otu,202
213,2.228482081,0.015364725,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,,,,,,Otu,213
214,1.489277274,0.138072556,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,,,,,,Otu,214
219,3.29601055,0.635679642,11/15/16 Manure Line,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinospirillum,,,,,,Otu,219
236,1.563632258,0.635679642,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,,,,,Otu,236
254,2.238964936,0.635679642,11/15/16 Manure Line,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,254
286,7.342280273,1.91E-11,11/15/16 Manure Line,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Syntrophaceticus,,,,,,Otu,286
299,6.479373674,8.66E-08,11/15/16 Manure Line,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,,,,,,Otu,299
308,7.163875245,7.49E-11,11/15/16 Manure Line,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonadaceae_unclassified,,,,,,Otu,308
325,6.55491501,2.02E-06,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,325
327,5.658365049,1.00E-06,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae_unclassified,,,,,,Otu,327
332,3.838516997,0.026026503,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Anaerocella,,,,,,Otu,332
344,4.732658602,0.000577131,11/15/16 Manure Line,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,,,,,Otu,344
346,7.549660488,1.32E-09,11/15/16 Manure Line,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,346
397,5.52050607,8.14E-10,11/15/16 Manure Line,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcaceae_unclassified,,,,,,Otu,397
399,3.856390178,0.02477727,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,399
