  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = Abundance ~ Date_Type, data = Verr)

$Date_Type
                                              diff          lwr         upr     p adj
11/12/16 Manure-11/08/16 Soil        -0.0673807958 -0.086468392 -0.04829320 0.0000000
11/15/16 Manure Line-11/08/16 Soil   -0.0008180846 -0.015522155  0.01388599 0.9999845
11/15/16 Soil-11/08/16 Soil           0.0031864623 -0.011673211  0.01804614 0.9892778
2/17/17 Soil-11/08/16 Soil            0.0256409545  0.010613370  0.04066854 0.0000371
3/22/17 Soil-11/08/16 Soil            0.0230826424  0.008222969  0.03794232 0.0002274
11/15/16 Manure Line-11/12/16 Manure  0.0665627112  0.047596000  0.08552942 0.0000000
11/15/16 Soil-11/12/16 Manure         0.0705672581  0.051479662  0.08965485 0.0000000
2/17/17 Soil-11/12/16 Manure          0.0930217503  0.073803146  0.11224035 0.0000000
3/22/17 Soil-11/12/16 Manure          0.0904634382  0.071375842  0.10955103 0.0000000
11/15/16 Soil-11/15/16 Manure Line    0.0040045469 -0.010699524  0.01870862 0.9689294
2/17/17 Soil-11/15/16 Manure Line     0.0264590392  0.011585300  0.04133278 0.0000151
3/22/17 Soil-11/15/16 Manure Line     0.0239007270  0.009196656  0.03860480 0.0000982
2/17/17 Soil-11/15/16 Soil            0.0224544922  0.007426907  0.03748208 0.0004439
3/22/17 Soil-11/15/16 Soil            0.0198961801  0.005036506  0.03475585 0.0023375
3/22/17 Soil-2/17/17 Soil            -0.0025583122 -0.017585897  0.01246927 0.9963352

